,mAP50,mAP50-95,precision,recall,f1
yolov8,0.984409261188166,0.7722005970319434,0.9665325162577533,0.9790263351902239,0.9727393093695333
yolo11,0.9091587358760822,0.6380957341384969,0.9266079050398498,0.8560401608828554,0.8899272883120704
