path,corrupted,duplicate,near_duplicate,blurry,blur_score,action
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4170_IMG_20230814_204312.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2294_augmented_image_715.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2873_augmented_image_665.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_363_augmented_image_574.jpg,False,False,False,False,6886.382898639864,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4433_20230818_113853.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_35_IMG_20230805_185010.jpg,False,False,False,False,61.62413617035496,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3528_augmented_image_994.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5030_IMG_20230923_105932.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3620_augmented_image_797.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4355_20230818_113856.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2744_augmented_image_749.jpg,False,False,True,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2927_augmented_image_724.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_771_augmented_image_690.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5285_IMG_20230923_105326.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5344_IMG_20230923_110835.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4844_IMG_20230811_172447.jpg,False,False,False,True,18.871415065746802,flagged
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1819_augmented_image_798.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2664_augmented_image_765.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3271_augmented_image_573.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4847_IMG_20230805_183005.jpg,False,False,False,False,99.10479905375462,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4725_IMG_20230814_210606.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4828_IMG_20230811_171933.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1742_augmented_image_821.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5146_IMG_20230923_111848.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2166_augmented_image_545.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4932_IMG_20230811_165440.jpg,False,False,False,True,15.039173621295586,flagged
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4482_20230818_115117.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_275_IMG_20230805_182220 Background Removed.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_294_augmented_image_715.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1809_augmented_image_772.jpg,False,False,False,True,26.104645623381163,flagged
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3089_augmented_image_119.jpg,False,False,True,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4955_IMG_20230814_180751.jpg,False,False,False,False,214.6630885917908,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_74_IMG_20230814_210257.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2716_augmented_image_313.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2060_augmented_image_989.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3481_augmented_image_804.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5735_IMG_20230923_100836.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5_augmented_image_43.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1987_augmented_image_94.jpg,False,False,True,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_905_augmented_image_394.jpg,False,False,True,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5325_IMG_20230923_105420.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1152_augmented_image_453.jpg,False,False,True,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2059_augmented_image_654.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4259_IMG_20230811_163720.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5089_IMG_20230923_111955.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4391_20230818_115148.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2725_augmented_image_302.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_612_augmented_image_182.jpg,False,False,False,False,38.596161686116446,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5524_IMG_20230811_170820.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5215_IMG_20230926_173411.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1468_augmented_image_887.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3588_augmented_image_975.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2033_augmented_image_133.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_385_IMG_20230811_163341.jpg,False,False,False,False,42.369335046196504,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2277_augmented_image_406.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4542_IMG_20230811_173122.jpg,False,False,False,True,24.613659271976154,flagged
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2272_augmented_image_878.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1808_augmented_image_937.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_310_augmented_image_593.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_3641_augmented_image_1020.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1242_augmented_image_505.jpg,False,False,False,False,30.056556276509465,kept
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_416_augmented_image_659.jpg,False,False,False,True,16.20897949057864,flagged
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_2737_augmented_image_257.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_5369_IMG_20230923_112337.jpg,False,True,False,False,,removed
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4498_IMG_20230814_204940.jpg,False,False,True,False,,removed
